iter	Accuracy	Logloss
283	0.7117886914	0.5599995067
284	0.7118165245	0.5599757153
285	0.7117886914	0.5599553856
286	0.7116495261	0.559919134
287	0.7117608584	0.5598925697
288	0.711802608	0.5598741215
289	0.7119278567	0.5598540837
290	0.7119696063	0.5597931313
291	0.7121366046	0.5597253518
292	0.7120391889	0.5597006789
293	0.7121087716	0.5596517891
294	0.7123175195	0.5596024453
295	0.712331436	0.5595546417
296	0.7124010187	0.559498181
297	0.7124149352	0.5594489983
298	0.7123871022	0.5593815867
299	0.712303603	0.5592939412
300	0.712331436	0.5592364401
301	0.7124566848	0.5591762699
302	0.7126236831	0.5591342185
303	0.7126793493	0.559111346
304	0.7126236831	0.559075624
305	0.7126375997	0.559064875
306	0.7125958501	0.5590364025
307	0.7126654327	0.5590232303
308	0.7125123509	0.5589688026
309	0.7125958501	0.5589551393
310	0.7126097666	0.5589261263
311	0.7126793493	0.5588948302
312	0.7127628484	0.5588683738
313	0.7127628484	0.5588052885
314	0.7127906815	0.5587663593
315	0.7127071823	0.5587345649
316	0.7127906815	0.5586819257
317	0.7128185145	0.5586631948
318	0.7128602641	0.5585899258
319	0.7129715964	0.5585641663
320	0.7128741807	0.5585343689
321	0.7129298468	0.558511127
322	0.713013346	0.5584565335
323	0.7130968451	0.5584173939
324	0.7132081774	0.5583787835
325	0.7131803443	0.5583088561
326	0.7131246782	0.5582845865
327	0.7131107617	0.5582515731
328	0.71327776	0.5582200199
329	0.7131246782	0.5581856423
330	0.7131664278	0.5581430331
331	0.7132360104	0.5581257048
332	0.7131942608	0.5580877552
333	0.7130550955	0.5580242808
334	0.7131664278	0.5580112406
335	0.7132360104	0.5579990048
336	0.7133055931	0.557965731
337	0.7133334261	0.5579447155
338	0.7133473426	0.5578768058
339	0.7133473426	0.557785465
340	0.7136256732	0.5577223898
341	0.7137370054	0.5576570092
342	0.7137230889	0.5576440577
343	0.7137370054	0.5576224797
344	0.7135839236	0.5575721121
345	0.7136256732	0.5575419916
346	0.7137370054	0.5575046695
347	0.7137091724	0.5574985045
348	0.7136256732	0.5574828823
349	0.7136117567	0.5574723766
350	0.7136674228	0.5574509859
351	0.7136535063	0.5574159532
352	0.7136395897	0.5573910536
353	0.7136117567	0.5573717089
354	0.7137370054	0.5573062271
355	0.7138622542	0.5572743379
356	0.713750922	0.557208729
357	0.7138622542	0.5571820626
358	0.7138622542	0.5571724008
359	0.7139040038	0.5571215754
360	0.713987503	0.5571032935
361	0.7139596699	0.5570905136
362	0.7138483377	0.5570464514
363	0.714015336	0.5569953257
364	0.7138344211	0.556962733
365	0.7138761707	0.5569406564
366	0.7139040038	0.5569138675
367	0.7140292525	0.5568592753
368	0.7141405848	0.5568133937
369	0.7142240839	0.5567600397
370	0.7143493327	0.5567455022
371	0.7143771658	0.5567177047
372	0.7143075831	0.5567023308
373	0.7142658335	0.5566949409
374	0.714251917	0.5566231153
375	0.7141127517	0.5565937475
376	0.7141684178	0.5565689871
377	0.7141127517	0.556524084
378	0.7141823344	0.5565004254
379	0.7142101674	0.556475257
380	0.7142380005	0.5564529627
381	0.7143354162	0.5564313005
382	0.7143075831	0.5563986726
383	0.7142240839	0.5563292383
384	0.7142240839	0.5563251181
385	0.714251917	0.556291531
386	0.7141684178	0.5562491127
387	0.714251917	0.5562203014
388	0.7144328319	0.5561883756
389	0.714488498	0.5561706403
390	0.714488498	0.5561691475
391	0.7145859137	0.5561238255
392	0.7146554963	0.5560743061
393	0.7146415798	0.5560595386
394	0.7146554963	0.5560483493
395	0.7147807451	0.5559968707
396	0.714725079	0.5559733492
397	0.7146415798	0.5559094117
398	0.7146137467	0.5558758276
399	0.7145998302	0.5558676884
400	0.7145719972	0.5558480863
401	0.7146137467	0.555815187
402	0.7146137467	0.5557999894
403	0.7146276633	0.5557940854
